order_id,customer_id,product_id,order_date,quantity,unit_price,total_amount,payment_method,order_status
1867,181,49,2024-01-01,2,190.42,380.84,Transferencia,Completada
522,170,100,2024-01-01,1,270.08,270.08,Billetera virtual,Completada
996,108,3,2024-01-02,4,292.23,1168.92,Tarjeta de crédito,Completada
2523,365,10,2024-01-02,1,146.44,146.44,Transferencia,Completada
2673,58,72,2024-01-03,4,91.98,367.92,Billetera virtual,Completada
2809,264,86,2024-01-03,2,213.88,427.76,Tarjeta de crédito,Completada
2699,498,11,2024-01-03,3,221.91,665.73,Transferencia,Completada
2308,254,112,2024-01-03,3,79.2,237.6,Billetera virtual,Cancelada
1496,170,41,2024-01-04,1,165.53,165.53,Tarjeta de crédito,Completada
469,44,17,2024-01-04,4,111.6,446.4,Tarjeta de débito,Completada
681,9,133,2024-01-04,2,713.32,1426.64,Tarjeta de crédito,Completada
1135,307,143,2024-01-04,3,248.99,746.97,Tarjeta de crédito,Completada
2929,308,98,2024-01-04,1,265.91,265.91,Tarjeta de crédito,Completada
366,284,114,2024-01-04,4,362.33,1449.32,Tarjeta de crédito,Completada
353,214,38,2024-01-04,3,93.08,279.24,Tarjeta de débito,Completada
2676,142,39,2024-01-04,3,459.22,1377.66,Tarjeta de débito,Completada
563,7,144,2024-01-04,2,46.23,92.46,Tarjeta de crédito,Completada
1892,134,107,2024-01-05,4,241.46,965.84,Tarjeta de crédito,Completada
2418,245,71,2024-01-06,3,98.46,295.38,Transferencia,Completada
423,399,67,2024-01-06,2,17.83,35.66,Billetera virtual,Completada
2624,152,10,2024-01-06,2,146.44,292.88,Transferencia,Completada
206,386,83,2024-01-06,2,37.39,74.78,Billetera virtual,Completada
1667,166,94,2024-01-06,1,83.73,83.73,Billetera virtual,Completada
1491,11,131,2024-01-06,1,114.24,114.24,Billetera virtual,Completada
1653,169,103,2024-01-07,1,535.68,535.68,Billetera virtual,Completada
1398,196,133,2024-01-07,2,713.32,1426.64,Tarjeta de débito,Completada
2448,386,146,2024-01-07,3,183.15,549.45,Tarjeta de crédito,Completada
2259,304,75,2024-01-08,2,142.36,284.72,Tarjeta de crédito,Completada
2311,401,43,2024-01-08,3,296.19,888.57,Tarjeta de crédito,Completada
2769,173,146,2024-01-08,3,183.15,549.45,Tarjeta de débito,Completada
253,30,135,2024-01-09,1,167.67,167.67,Billetera virtual,Completada
2952,345,3,2024-01-09,4,292.23,1168.92,Tarjeta de crédito,Completada
421,291,34,2024-01-09,1,218.05,218.05,Tarjeta de débito,Completada
225,366,40,2024-01-09,2,130.98,261.96,Tarjeta de débito,Completada
826,276,69,2024-01-09,2,787.04,1574.08,Tarjeta de crédito,Completada
2220,109,149,2024-01-10,4,163.12,652.48,Tarjeta de débito,Completada
2447,240,108,2024-01-10,4,340.46,1361.84,Transferencia,Completada
1354,490,136,2024-01-10,4,355.5,1422.0,Tarjeta de crédito,Completada
758,2,143,2024-01-10,3,248.99,746.97,Tarjeta de crédito,Completada
684,494,128,2024-01-11,4,121.82,487.28,Billetera virtual,Completada
1333,76,91,2024-01-11,1,1005.99,1005.99,Tarjeta de crédito,Completada
1975,196,116,2024-01-11,4,112.36,449.44,Tarjeta de crédito,Completada
1670,432,103,2024-01-11,4,535.68,2142.72,Tarjeta de débito,Completada
1409,411,99,2024-01-12,2,530.66,1061.32,Tarjeta de débito,Completada
1411,416,89,2024-01-12,2,149.38,298.76,Transferencia,Completada
413,234,123,2024-01-12,4,78.6,314.4,Tarjeta de crédito,Completada
509,5,143,2024-01-12,1,248.99,248.99,Tarjeta de crédito,Completada
1488,407,91,2024-01-12,1,1005.99,1005.99,Tarjeta de crédito,Completada
2024,379,60,2024-01-12,1,176.61,176.61,Tarjeta de débito,Completada
640,121,116,2024-01-12,4,112.36,449.44,Tarjeta de débito,Cancelada
2157,417,101,2024-01-13,1,27.42,27.42,Tarjeta de crédito,Completada
145,433,59,2024-01-13,1,199.85,199.85,Tarjeta de crédito,Completada
2840,454,120,2024-01-13,1,206.18,206.18,Tarjeta de crédito,Completada
2454,297,73,2024-01-14,3,62.82,188.46,Transferencia,Cancelada
2142,276,143,2024-01-14,3,248.99,746.97,Tarjeta de crédito,Completada
1860,234,3,2024-01-15,1,292.23,292.23,Billetera virtual,Completada
2342,265,110,2024-01-15,1,124.7,124.7,Tarjeta de crédito,Completada
146,7,10,2024-01-15,3,146.44,439.32,Billetera virtual,Completada
950,241,14,2024-01-15,4,84.17,336.68,Tarjeta de crédito,Completada
2015,311,41,2024-01-16,2,165.53,331.06,Tarjeta de crédito,Cancelada
930,181,40,2024-01-16,3,130.98,392.94,Tarjeta de débito,Completada
2344,392,23,2024-01-16,4,824.07,3296.28,Tarjeta de crédito,Completada
2467,197,138,2024-01-16,3,10.96,32.88,Tarjeta de crédito,Completada
238,132,85,2024-01-16,1,839.71,839.71,Transferencia,Completada
2221,45,144,2024-01-16,3,46.23,138.69,Tarjeta de débito,Completada
2335,184,95,2024-01-17,4,127.07,508.28,Tarjeta de crédito,Completada
2100,166,63,2024-01-18,1,41.74,41.74,Tarjeta de crédito,Completada
2595,323,5,2024-01-18,2,320.02,640.04,Billetera virtual,Completada
163,377,64,2024-01-18,1,97.83,97.83,Tarjeta de crédito,Completada
462,190,46,2024-01-18,4,458.9,1835.6,Transferencia,Completada
2098,199,73,2024-01-19,3,62.82,188.46,Tarjeta de débito,Completada
388,141,21,2024-01-19,4,441.16,1764.64,Tarjeta de crédito,Completada
1265,134,89,2024-01-19,1,149.38,149.38,Transferencia,Completada
774,89,90,2024-01-20,1,52.39,52.39,Transferencia,Completada
2631,84,6,2024-01-20,1,134.96,134.96,Tarjeta de crédito,Completada
1330,115,140,2024-01-20,2,580.95,1161.9,Tarjeta de débito,Cancelada
569,203,142,2024-01-20,2,641.1,1282.2,Tarjeta de crédito,Completada
1043,430,70,2024-01-20,1,99.49,99.49,Transferencia,Completada
859,461,18,2024-01-21,3,213.72,641.16,Tarjeta de crédito,Completada
56,399,98,2024-01-21,2,265.91,531.82,Transferencia,Completada
1957,367,56,2024-01-21,3,1008.65,3025.95,Tarjeta de crédito,Cancelada
1555,231,114,2024-01-22,2,362.33,724.66,Tarjeta de débito,Completada
940,245,94,2024-01-22,4,83.73,334.92,Tarjeta de crédito,Completada
2864,11,45,2024-01-22,2,85.76,171.52,Tarjeta de débito,Completada
714,70,74,2024-01-23,1,650.9,650.9,Tarjeta de crédito,Completada
2129,387,120,2024-01-23,3,206.18,618.54,Tarjeta de débito,Completada
1440,56,92,2024-01-23,2,96.79,193.58,Transferencia,Completada
1876,413,16,2024-01-23,4,188.57,754.28,Tarjeta de crédito,Cancelada
2368,48,27,2024-01-23,1,53.58,53.58,Tarjeta de crédito,Completada
949,304,3,2024-01-23,2,292.23,584.46,Tarjeta de débito,Completada
1185,425,135,2024-01-23,1,167.67,167.67,Billetera virtual,Completada
2602,184,43,2024-01-24,1,296.19,296.19,Tarjeta de crédito,Completada
798,84,30,2024-01-24,3,221.66,664.98,Tarjeta de débito,Completada
1907,89,66,2024-01-24,2,256.07,512.14,Transferencia,Completada
2960,361,11,2024-01-25,3,221.91,665.73,Tarjeta de crédito,Completada
707,217,20,2024-01-25,1,110.57,110.57,Tarjeta de débito,Completada
836,245,70,2024-01-25,4,99.49,397.96,Tarjeta de débito,Completada
621,181,116,2024-01-25,1,112.36,112.36,Transferencia,Completada
1869,69,121,2024-01-25,1,58.56,58.56,Transferencia,Completada
2846,127,42,2024-01-25,1,136.43,136.43,Tarjeta de crédito,Completada
2199,412,78,2024-01-26,1,273.68,273.68,Tarjeta de débito,Completada
941,23,56,2024-01-26,4,1008.65,4034.6,Billetera virtual,Completada
202,182,82,2024-01-26,2,106.99,213.98,Tarjeta de crédito,Completada
2480,372,37,2024-01-26,1,297.6,297.6,Tarjeta de débito,Completada
2477,405,123,2024-01-27,2,78.6,157.2,Transferencia,Completada
1893,190,145,2024-01-27,3,1036.09,3108.27,Tarjeta de crédito,Completada
141,466,150,2024-01-27,1,63.38,63.38,Transferencia,Completada
2105,195,21,2024-01-27,4,441.16,1764.64,Transferencia,Completada
1583,61,102,2024-01-27,3,275.73,827.19,Tarjeta de crédito,Completada
1227,154,17,2024-01-27,4,111.6,446.4,Tarjeta de crédito,Cancelada
2856,337,87,2024-01-27,4,167.49,669.96,Tarjeta de débito,Completada
823,185,31,2024-01-27,4,72.17,288.68,Tarjeta de crédito,Completada
2440,322,87,2024-01-27,2,167.49,334.98,Tarjeta de débito,Completada
1535,285,74,2024-01-28,2,650.9,1301.8,Billetera virtual,Completada
936,189,137,2024-01-28,4,245.63,982.52,Tarjeta de crédito,Completada
2857,486,49,2024-01-28,1,190.42,190.42,Tarjeta de débito,Completada
672,441,4,2024-01-28,1,87.74,87.74,Tarjeta de crédito,Completada
716,9,85,2024-01-28,3,839.71,2519.13,Tarjeta de débito,Completada
564,185,147,2024-01-28,2,907.87,1815.74,Transferencia,Completada
2464,235,68,2024-01-29,1,109.08,109.08,Transferencia,Completada
1073,165,36,2024-01-29,4,55.34,221.36,Tarjeta de débito,Completada
1266,402,44,2024-01-29,1,85.25,85.25,Transferencia,Completada
800,117,98,2024-01-29,3,265.91,797.73,Tarjeta de crédito,Completada
507,120,16,2024-01-29,2,188.57,377.14,Tarjeta de crédito,Completada
2831,304,131,2024-01-29,1,114.24,114.24,Transferencia,Completada
2303,108,24,2024-01-29,3,231.71,695.13,Tarjeta de crédito,Completada
560,305,51,2024-01-30,2,139.26,278.52,Tarjeta de débito,Completada
1457,403,12,2024-01-30,1,20.02,20.02,Tarjeta de crédito,Completada
2549,364,115,2024-01-30,4,384.44,1537.76,Billetera virtual,Completada
1850,246,66,2024-01-30,2,256.07,512.14,Tarjeta de crédito,Completada
1729,317,52,2024-01-31,4,83.1,332.4,Tarjeta de crédito,Completada
1465,485,132,2024-01-31,1,139.77,139.77,Tarjeta de débito,Completada
2179,409,24,2024-02-01,4,231.71,926.84,Tarjeta de débito,Completada
2984,40,121,2024-02-01,1,58.56,58.56,Billetera virtual,Completada
2848,274,9,2024-02-01,1,280.94,280.94,Tarjeta de crédito,Completada
1696,488,113,2024-02-01,4,261.05,1044.2,Tarjeta de crédito,Completada
680,243,36,2024-02-01,2,55.34,110.68,Tarjeta de crédito,Completada
52,47,127,2024-02-02,3,354.42,1063.26,Tarjeta de crédito,Completada
1125,382,65,2024-02-02,2,88.86,177.72,Transferencia,Completada
2816,266,112,2024-02-02,2,79.2,158.4,Tarjeta de crédito,Completada
2394,188,53,2024-02-03,3,317.15,951.45,Tarjeta de crédito,Completada
1614,138,77,2024-02-03,2,36.9,73.8,Billetera virtual,Completada
94,394,15,2024-02-03,1,75.43,75.43,Transferencia,Completada
530,90,27,2024-02-03,4,53.58,214.32,Tarjeta de crédito,Completada
2829,197,72,2024-02-04,4,91.98,367.92,Billetera virtual,Completada
1263,69,149,2024-02-04,4,163.12,652.48,Tarjeta de débito,Completada
2376,148,134,2024-02-04,4,24.19,96.76,Transferencia,Completada
1041,57,142,2024-02-05,3,641.1,1923.3,Transferencia,Completada
306,274,71,2024-02-06,4,98.46,393.84,Tarjeta de crédito,Completada
1650,93,82,2024-02-08,3,106.99,320.97,Tarjeta de crédito,Completada
1870,35,46,2024-02-08,3,458.9,1376.7,Billetera virtual,Completada
2583,69,131,2024-02-08,1,114.24,114.24,Transferencia,Completada
