product_id,product_name,category,price,cost,stock
1,INDU-001,Indumentaria,11.53,6.9,117
2,INDU-002,Indumentaria,148.77,76.53,493
3,ELEC-003,Electrónica,292.23,140.56,248
4,INDU-004,Indumentaria,87.74,52.57,437
5,HOGA-005,Hogar,320.02,204.26,89
6,INDU-006,Indumentaria,134.96,87.92,82
7,INDU-007,Indumentaria,44.62,26.28,400
8,HOGA-008,Hogar,129.5,68.95,409
9,DEPO-009,Deportes,280.94,174.32,271
10,INDU-010,Indumentaria,146.44,81.16,16
11,HOGA-011,Hogar,221.91,126.88,471
12,JUGU-012,Juguetería,20.02,10.19,196
13,HOGA-013,Hogar,218.14,101.84,467
14,BELL-014,Belleza,84.17,40.48,435
15,DEPO-015,Deportes,75.43,48.38,425
16,ELEC-016,Electrónica,188.57,127.3,344
17,INDU-017,Indumentaria,111.6,52.13,336
18,DEPO-018,Deportes,213.72,129.92,266
19,JUGU-019,Juguetería,92.82,60.99,12
20,INDU-020,Indumentaria,110.57,65.96,193
21,ELEC-021,Electrónica,441.16,275.42,365
22,HOGA-022,Hogar,383.43,228.86,406
23,ELEC-023,Electrónica,824.07,460.89,279
24,DEPO-024,Deportes,231.71,162.06,354
25,HOGA-025,Hogar,76.75,38.42,10
26,DEPO-026,Deportes,171.04,97.55,234
27,BELL-027,Belleza,53.58,24.77,253
28,HOGA-028,Hogar,170.65,101.66,446
29,HOGA-029,Hogar,240.3,147.62,155
30,DEPO-030,Deportes,221.66,135.3,114
31,BELL-031,Belleza,72.17,43.75,176
32,BELL-032,Belleza,50.69,30.49,85
33,ELEC-033,Electrónica,193.34,100.21,279
34,HOGA-034,Hogar,218.05,145.71,321
35,ELEC-035,Electrónica,840.54,397.24,400
36,BELL-036,Belleza,55.34,27.97,485
37,HOGA-037,Hogar,297.6,195.48,36
38,INDU-038,Indumentaria,93.08,55.65,123
39,ELEC-039,Electrónica,459.22,257.88,150
40,INDU-040,Indumentaria,130.98,82.63,124
41,DEPO-041,Deportes,165.53,89.73,413
42,ELEC-042,Electrónica,136.43,66.27,69
43,ELEC-043,Electrónica,296.19,160.93,14
44,BELL-044,Belleza,85.25,49.13,430
45,DEPO-045,Deportes,85.76,40.86,480
46,ELEC-046,Electrónica,458.9,300.09,113
47,INDU-047,Indumentaria,63.67,40.95,166
48,JUGU-048,Juguetería,97.9,46.77,251
49,DEPO-049,Deportes,190.42,131.35,262
50,HOGA-050,Hogar,169.82,78.58,495
51,INDU-051,Indumentaria,139.26,93.43,202
52,INDU-052,Indumentaria,83.1,48.87,6
53,ELEC-053,Electrónica,317.15,207.69,211
54,DEPO-054,Deportes,159.61,73.18,278
55,ELEC-055,Electrónica,844.98,581.03,258
56,ELEC-056,Electrónica,1008.65,523.79,256
57,DEPO-057,Deportes,34.93,23.93,461
58,JUGU-058,Juguetería,112.95,65.86,403
59,DEPO-059,Deportes,199.85,113.05,125
60,HOGA-060,Hogar,176.61,84.75,177
61,HOGA-061,Hogar,52.25,26.55,333
62,INDU-062,Indumentaria,127.13,61.84,205
63,INDU-063,Indumentaria,41.74,24.51,214
64,HOGA-064,Hogar,97.83,48.02,83
65,INDU-065,Indumentaria,88.86,48.16,127
66,HOGA-066,Hogar,256.07,173.63,370
67,BELL-067,Belleza,17.83,12.1,421
68,JUGU-068,Juguetería,109.08,71.7,392
69,ELEC-069,Electrónica,787.04,476.19,153
70,INDU-070,Indumentaria,99.49,61.94,68
71,ELEC-071,Electrónica,98.46,67.89,79
72,INDU-072,Indumentaria,91.98,59.36,196
73,INDU-073,Indumentaria,62.82,28.46,258
74,ELEC-074,Electrónica,650.9,375.44,446
75,DEPO-075,Deportes,142.36,76.15,449
76,HOGA-076,Hogar,111.18,64.69,1
77,BELL-077,Belleza,36.9,25.55,353
78,ELEC-078,Electrónica,273.68,145.03,149
79,ELEC-079,Electrónica,409.24,239.74,98
80,INDU-080,Indumentaria,79.9,48.81,277
81,ELEC-081,Electrónica,1144.0,596.37,16
82,INDU-082,Indumentaria,106.99,48.82,167
83,JUGU-083,Juguetería,37.39,21.16,276
84,ELEC-084,Electrónica,114.71,69.33,136
85,ELEC-085,Electrónica,839.71,534.63,296
86,HOGA-086,Hogar,213.88,128.54,230
87,HOGA-087,Hogar,167.49,77.1,399
88,HOGA-088,Hogar,53.48,32.82,90
89,INDU-089,Indumentaria,149.38,67.81,28
90,BELL-090,Belleza,52.39,33.41,264
91,ELEC-091,Electrónica,1005.99,589.81,128
92,INDU-092,Indumentaria,96.79,60.41,353
93,DEPO-093,Deportes,260.51,125.19,46
94,BELL-094,Belleza,83.73,38.22,287
95,INDU-095,Indumentaria,127.07,59.62,494
96,HOGA-096,Hogar,89.93,40.56,46
97,ELEC-097,Electrónica,578.69,308.78,150
98,ELEC-098,Electrónica,265.91,149.65,422
99,ELEC-099,Electrónica,530.66,340.64,266
100,DEPO-100,Deportes,270.08,165.6,87
101,INDU-101,Indumentaria,27.42,14.36,106
102,DEPO-102,Deportes,275.73,130.2,382
103,ELEC-103,Electrónica,535.68,367.28,430
104,BELL-104,Belleza,85.81,47.44,180
105,BELL-105,Belleza,61.73,34.83,236
106,ELEC-106,Electrónica,923.88,423.04,391
107,ELEC-107,Electrónica,241.46,145.73,88
108,ELEC-108,Electrónica,340.46,209.9,103
109,BELL-109,Belleza,34.85,23.41,387
110,INDU-110,Indumentaria,124.7,71.48,93
111,HOGA-111,Hogar,312.56,161.84,385
112,INDU-112,Indumentaria,79.2,39.55,248
113,DEPO-113,Deportes,261.05,171.19,495
114,HOGA-114,Hogar,362.33,242.53,16
115,HOGA-115,Hogar,384.44,194.94,472
116,JUGU-116,Juguetería,112.36,66.61,112
117,ELEC-117,Electrónica,553.19,326.43,17
118,BELL-118,Belleza,34.12,17.82,362
119,ELEC-119,Electrónica,350.27,164.84,266
120,HOGA-120,Hogar,206.18,138.54,418
121,BELL-121,Belleza,58.56,33.98,54
122,DEPO-122,Deportes,140.01,79.26,40
123,DEPO-123,Deportes,78.6,51.54,283
124,INDU-124,Indumentaria,37.77,23.76,441
125,INDU-125,Indumentaria,116.4,69.11,202
126,INDU-126,Indumentaria,130.81,68.38,398
127,HOGA-127,Hogar,354.42,224.12,453
128,INDU-128,Indumentaria,121.82,75.06,434
129,INDU-129,Indumentaria,128.49,89.72,254
130,INDU-130,Indumentaria,68.82,44.97,349
131,INDU-131,Indumentaria,114.24,64.34,262
132,INDU-132,Indumentaria,139.77,76.68,337
133,ELEC-133,Electrónica,713.32,339.89,283
134,BELL-134,Belleza,24.19,15.97,262
135,HOGA-135,Hogar,167.67,91.97,218
136,ELEC-136,Electrónica,355.5,203.67,326
137,DEPO-137,Deportes,245.63,165.5,375
138,BELL-138,Belleza,10.96,6.51,459
139,INDU-139,Indumentaria,75.42,45.52,306
140,ELEC-140,Electrónica,580.95,319.33,50
141,ELEC-141,Electrónica,608.51,362.37,293
142,ELEC-142,Electrónica,641.1,364.17,157
143,DEPO-143,Deportes,248.99,158.46,13
144,JUGU-144,Juguetería,46.23,30.06,36
145,ELEC-145,Electrónica,1036.09,506.0,295
146,DEPO-146,Deportes,183.15,95.48,472
147,ELEC-147,Electrónica,907.87,462.74,252
148,HOGA-148,Hogar,273.49,140.51,222
149,DEPO-149,Deportes,163.12,112.09,44
150,INDU-150,Indumentaria,63.38,42.4,337
